video,window_index,window_start_sec,window_end_sec,roi_id,roi_label,roi_kind,method,preprocess,peak_rank,peak_bpm,bpm_min,bpm_max,bpm_target,target_abs_error,range_error,within_range,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,roi_motion,color_cv,motion_coherence,bg_motion_coherence,box_motion_coherence,motion_peak_bpm,bg_motion_peak_bpm,box_motion_peak_bpm,bg_motion_global_peak_bpm,box_motion_global_peak_bpm,artifact_100bpm,quality_score,artifact_state,keypoint_source,motion_aware_score,pet_state_keypoint_score
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,chrom,raw,2,120.85,170.0,180.0,175.0,54.15,49.15,False,8.756,0.013765,0.891519,0.004035,0.15254,0.0419,0.0,0.005448,0.242799,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,3.043747,stable_low_motion,face_box_pseudo_keypoint,3.01106,3.37106
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,chrom,bg_motion_residual,1,112.939,170.0,180.0,175.0,62.061,57.061,False,21.162,0.021443,0.864231,0.002888,0.245823,0.0419,0.0,0.005448,0.242799,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,4.380326,stable_low_motion,face_box_pseudo_keypoint,4.597639,4.957639
1.mp4,0,0.0,19.933,right_eye_proxy,Right eye proxy,keypoint,chrom,bg_motion_residual,2,134.912,170.0,180.0,175.0,40.088,35.088,False,14.477,0.014669,0.864231,0.000493,0.359352,0.0419,0.0,0.005448,0.242799,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,3.556202,stable_low_motion,face_box_pseudo_keypoint,3.773515,4.133515
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,green,raw,1,99.756,170.0,180.0,175.0,75.244,70.244,False,36.731,0.032215,0.82028,0.107447,0.03027,0.0401,0.0,0.006834,0.227994,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,5.302924,100bpm_artifact,face_box_pseudo_keypoint,3.361919,2.871919
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,green,raw,2,106.787,170.0,180.0,175.0,68.213,63.213,False,34.146,0.029948,0.82028,0.014994,0.032561,0.0401,0.0,0.006834,0.227994,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,4.942584,stable_low_motion,face_box_pseudo_keypoint,4.901579,5.261579
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,green,bg_motion_residual,1,99.316,170.0,180.0,175.0,75.684,70.684,False,50.43,0.036041,0.801989,0.04728,0.030596,0.0401,0.0,0.006834,0.227994,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,5.712665,100bpm_artifact,face_box_pseudo_keypoint,4.021661,3.531661
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,green,bg_motion_residual,2,106.348,170.0,180.0,175.0,68.652,63.652,False,40.601,0.029017,0.801989,0.007591,0.038003,0.0401,0.0,0.006834,0.227994,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,5.119987,stable_low_motion,face_box_pseudo_keypoint,5.328983,5.688983
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,chrom,raw,1,89.648,170.0,180.0,175.0,85.352,80.352,False,10.672,0.020632,0.919347,0.013455,0.229806,0.0401,0.0,0.006834,0.227994,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,3.619801,stable_low_motion,face_box_pseudo_keypoint,3.578796,3.938796
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,chrom,raw,2,126.562,170.0,180.0,175.0,48.438,43.438,False,3.418,0.006608,0.919347,0.00373,0.71753,0.0401,0.0,0.006834,0.227994,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,1.769648,stable_low_motion,face_box_pseudo_keypoint,1.728643,2.088643
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,chrom,bg_motion_residual,1,96.68,170.0,180.0,175.0,78.32,73.32,False,63.023,0.030036,0.813666,0.002978,0.169999,0.0401,0.0,0.006834,0.227994,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,5.775298,100bpm_artifact,face_box_pseudo_keypoint,4.084293,3.594293
1.mp4,0,0.0,19.933,nose_bridge_proxy,Nose bridge proxy,keypoint,chrom,bg_motion_residual,2,103.711,170.0,180.0,175.0,71.289,66.289,False,24.895,0.011865,0.813666,0.001254,0.430364,0.0401,0.0,0.006834,0.227994,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,4.043477,100bpm_artifact,face_box_pseudo_keypoint,2.352472,1.862472
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,green,raw,1,80.859,170.0,180.0,175.0,94.141,89.141,False,19.596,0.01672,0.863835,0.002794,0.923719,0.0507,0.0,0.005963,0.218841,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,4.049206,stable_low_motion,face_box_pseudo_keypoint,4.01343,4.37343
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,green,raw,2,94.043,170.0,180.0,175.0,80.957,75.957,False,19.206,0.016387,0.863835,0.017481,0.942486,0.0507,0.0,0.005963,0.218841,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,3.798032,stable_low_motion,face_box_pseudo_keypoint,3.762257,4.122257
1.mp4,0,0.0,19.933,muzzle_proxy,Muzzle proxy,keypoint,green,bg_motion_residual,1,128.76,170.0,180.0,175.0,46.24,41.24,False,54.566,0.020792,0.817164,0.003665,0.404361,0.0507,0.0,0.005963,0.218841,0.0,0.0,0.0,100.195,218.408,100.195,218.408,100.195,False,5.363867,stable_low_motion,face_box_pseudo_keypoint,5.578092,5.938092
