view,video,window_index,window_start_sec,window_end_sec,region_id,region_label,region_kind,method,peak_rank,peak_bpm,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,color_cv,quality_score,trained_selector_score
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,g_minus_r,4,124.805,8.039,0.00601,0.884617,0.005275,0.997777,0.9422,0.0,0.460238,2.629774,0.04
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,chrom,1,97.998,19.405,0.022244,0.861459,0.02137,0.136471,0.9422,0.0,0.460238,4.927019,0.0
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,chrom,2,109.863,5.753,0.006595,0.861459,0.000588,0.460307,0.9422,0.0,0.460238,2.918894,0.03333333333333333
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,chrom,3,133.154,4.227,0.004845,0.861459,0.015174,0.62658,0.9422,0.0,0.460238,2.308202,0.3466666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,chrom,4,154.688,3.246,0.003721,0.861459,0.019757,0.815823,0.9422,0.0,0.460238,1.769877,0.08666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pos,1,97.559,17.787,0.020743,0.856,0.003324,0.044361,0.9422,0.0,0.460238,4.819549,0.0
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pos,2,109.424,8.858,0.010331,0.856,0.003126,0.089074,0.9422,0.0,0.460238,3.562847,0.03333333333333333
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pos,3,87.451,3.88,0.004525,0.856,0.355643,0.203347,0.9422,0.0,0.460238,2.368652,0.04
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pos,4,134.473,2.876,0.003354,0.856,0.017836,0.274349,0.9422,0.0,0.460238,1.755005,0.30666666666666664
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pca,1,97.119,10.685,0.013389,0.882977,0.075192,0.003546,0.9422,0.0,0.460238,4.076559,0.0
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pca,2,108.545,10.02,0.012555,0.882977,0.001375,0.003781,0.9422,0.0,0.460238,3.749366,0.02666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pca,3,188.525,4.498,0.005637,0.882977,0.013897,1.503256,0.9422,0.0,0.460238,2.220502,0.18666666666666668
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,pca,4,87.891,3.855,0.004831,0.882977,0.144816,0.009828,0.9422,0.0,0.460238,2.119927,0.02666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,ica,1,98.438,8.565,0.01488,0.913868,0.143348,0.402802,0.9422,0.0,0.460238,3.822034,0.0
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,ica,2,125.244,3.744,0.006505,0.913868,0.017585,0.921406,0.9422,0.0,0.460238,2.3984,0.08666666666666667
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,ica,3,174.023,3.406,0.005917,0.913868,0.019333,0.272644,0.9422,0.0,0.460238,2.187084,0.2733333333333333
front,front.mp4,3,15.0,34.933,face_full,Full face,roi,ica,4,131.836,3.372,0.005857,0.913868,0.019528,1.023251,0.9422,0.0,0.460238,1.820669,0.37333333333333335
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,green,1,132.275,9.769,0.014455,0.904741,0.017929,0.198336,0.9163,0.0,0.060916,3.938171,0.17333333333333334
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,green,2,101.514,9.225,0.013649,0.904741,0.402562,0.210042,0.9163,0.0,0.060916,3.710076,0.03333333333333333
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,green,3,83.936,8.631,0.012772,0.904741,0.010321,0.224477,0.9163,0.0,0.060916,3.314068,0.03333333333333333
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,green,4,197.754,5.674,0.008396,0.904741,0.030867,0.505988,0.9163,0.0,0.060916,2.481011,0.10666666666666667
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,g_minus_r,1,132.275,5.031,0.009961,0.944661,0.090893,0.006842,0.9163,0.0,0.060916,3.15599,0.11333333333333333
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,g_minus_r,2,111.182,4.8,0.009504,0.944661,0.24039,0.007171,0.9163,0.0,0.060916,2.905136,0.25333333333333335
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,g_minus_r,3,121.289,4.598,0.009105,0.944661,0.099434,0.007485,0.9163,0.0,0.060916,2.602098,0.2733333333333333
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,g_minus_r,4,177.539,2.73,0.005405,0.944661,0.167512,0.945714,0.9163,0.0,0.060916,1.617562,0.15333333333333332
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,chrom,1,94.482,6.531,0.013397,0.928318,0.142671,0.017651,0.9163,0.0,0.060916,3.553053,0.09333333333333334
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,chrom,2,143.701,4.877,0.010004,0.928318,0.033349,0.023639,0.9163,0.0,0.060916,2.916556,0.14
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,chrom,3,130.518,4.75,0.009744,0.928318,0.034236,0.024268,0.9163,0.0,0.060916,2.662561,0.14
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,chrom,4,109.863,3.753,0.007698,0.928318,0.06968,0.030721,0.9163,0.0,0.060916,2.155555,0.32
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pos,1,94.482,5.645,0.011452,0.946116,0.21185,0.069713,0.9163,0.0,0.060916,3.330077,0.11333333333333333
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pos,2,83.936,4.249,0.008621,0.946116,0.15913,0.092614,0.9163,0.0,0.060916,2.727494,0.05333333333333334
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pos,3,130.078,4.241,0.008604,0.946116,0.058242,0.092787,0.9163,0.0,0.060916,2.484907,0.12
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pos,4,101.514,3.721,0.007549,0.946116,0.399708,0.105767,0.9163,0.0,0.060916,2.171525,0.04
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pca,1,132.275,10.477,0.01493,0.904737,0.016305,0.186403,0.9163,0.0,0.060916,4.023208,0.11333333333333333
front,front.mp4,0,0.0,19.933,upper_face,Upper face,roi,pca,2,101.953,9.365,0.013346,0.904737,0.311965,0.208521,0.9163,0.0,0.060916,3.695554,0.02666666666666667
