roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
muzzle_area,pca,100,179.9,9.64,0.0,0.0,4.88,0.052,12.22,937.9,202.0
muzzle_area,ica,100,180.5,9.95,0.0,0.0,4.88,0.052,12.22,937.9,202.0
muzzle_area,green,150,192.8,16.44,0.0,0.0,5.85,0.04,10.9,937.9,202.0
muzzle_area,g_minus_r,150,155.9,4.87,0.0,0.0,5.85,0.121,10.9,937.9,202.0
muzzle_area,chrom,150,87.3,2.77,0.0,0.0,5.85,0.095,10.9,937.9,202.0
muzzle_area,pos,150,155.9,4.57,0.0,0.0,5.85,0.127,10.9,937.9,202.0
muzzle_area,pca,150,192.8,6.3,0.0,0.0,5.85,0.157,10.9,937.9,202.0
muzzle_area,ica,150,156.4,9.3,0.0,0.0,5.85,0.044,10.9,937.9,202.0
muzzle_area,green,200,185.2,25.09,0.0,0.0,6.59,0.024,11.49,937.9,202.0
muzzle_area,g_minus_r,200,155.9,16.34,0.0,0.0,6.59,0.059,11.49,937.9,202.0
muzzle_area,chrom,200,155.9,12.74,0.0,0.0,6.59,0.048,11.49,937.9,202.0
muzzle_area,pos,200,155.9,17.0,0.0,0.0,6.59,0.062,11.49,937.9,202.0
muzzle_area,pca,200,155.9,17.22,0.0,0.0,6.59,0.047,11.49,937.9,202.0
muzzle_area,ica,200,155.9,6.9,0.0,0.0,6.59,0.045,11.49,937.9,202.0
muzzle_area,green,250,188.1,41.33,0.0,0.0,5.26,0.008,9.75,937.9,202.0
muzzle_area,g_minus_r,250,155.9,14.4,0.0,0.0,5.26,0.018,9.75,937.9,202.0
muzzle_area,chrom,250,139.5,9.19,0.0,0.0,5.26,0.063,9.75,937.9,202.0
muzzle_area,pos,250,155.9,11.81,0.0,0.0,5.26,0.023,9.75,937.9,202.0
muzzle_area,pca,250,139.5,9.11,0.0,0.0,5.26,0.037,9.75,937.9,202.0
muzzle_area,ica,250,205.1,20.05,0.0,0.0,5.26,0.016,9.75,937.9,202.0
muzzle_area,green,300,191.0,22.93,0.0,0.0,4.26,0.016,11.59,937.9,202.0
muzzle_area,g_minus_r,300,166.4,13.51,0.0,0.0,4.26,0.028,11.59,937.9,202.0
muzzle_area,chrom,300,139.5,7.31,0.0,0.0,4.26,0.113,11.59,937.9,202.0
muzzle_area,pos,300,165.8,11.89,0.0,0.0,4.26,0.047,11.59,937.9,202.0
muzzle_area,pca,300,139.5,6.05,0.0,0.0,4.26,0.136,11.59,937.9,202.0
muzzle_area,ica,300,165.8,10.63,0.0,0.0,4.26,0.048,11.59,937.9,202.0
muzzle_area,green,350,208.0,32.24,0.0,0.0,3.71,0.038,12.28,937.9,202.0
muzzle_area,g_minus_r,350,150.6,8.14,0.0,0.0,3.71,0.106,12.28,937.9,202.0
muzzle_area,chrom,350,138.9,13.26,0.0,0.0,3.71,0.175,12.28,937.9,202.0
muzzle_area,pos,350,166.4,9.37,0.0,0.0,3.71,0.15,12.28,937.9,202.0
muzzle_area,pca,350,207.4,10.42,0.0,0.0,3.71,0.189,12.28,937.9,202.0
muzzle_area,ica,350,166.4,8.97,0.0,0.0,3.71,0.068,12.28,937.9,202.0
muzzle_area,green,400,194.5,26.66,0.0,0.0,3.41,0.028,11.73,937.9,202.0
muzzle_area,g_minus_r,400,148.8,5.09,0.0,0.0,3.41,0.111,11.73,937.9,202.0
muzzle_area,chrom,400,124.2,4.68,0.0,0.0,3.41,0.09,11.73,937.9,202.0
muzzle_area,pos,400,123.6,4.57,0.0,0.0,3.41,0.137,11.73,937.9,202.0
muzzle_area,pca,400,193.9,6.98,0.0,0.0,3.41,0.117,11.73,937.9,202.0
muzzle_area,ica,400,194.5,8.68,0.0,0.0,3.41,0.011,11.73,937.9,202.0
