method,region_id,region_label,region_kind,n,target_mae,target_rmse,range_mae,within_range_pct,median_quality_score
pca,patch_r03_c02,Patch R3 C2,patch,7,51.478,67.186,45.121,0.0,5.139
chrom,patch_r03_c03,Patch R3 C3,patch,7,50.912,65.499,45.146,14.29,3.959
pca,patch_r01_c01,Patch R1 C1,patch,7,51.54,65.199,45.183,0.0,5.183
pca,lower_face,Lower face,roi,7,51.666,64.762,45.309,0.0,5.143
green,patch_r03_c03,Patch R3 C3,patch,7,51.666,62.917,45.309,0.0,4.361
ica,patch_r03_c02,Patch R3 C2,patch,7,51.917,66.643,45.56,0.0,5.118
ica,patch_r04_c03,Patch R4 C3,patch,7,51.917,63.488,45.56,0.0,4.964
g_minus_r,patch_r04_c02,Patch R4 C2,patch,7,51.917,64.027,45.56,0.0,4.755
green,patch_r04_c02,Patch R4 C2,patch,7,52.231,64.85,45.874,0.0,4.521
pca,patch_r03_c03,Patch R3 C3,patch,7,52.796,65.267,46.439,0.0,4.871
chrom,patch_r02_c04,Patch R2 C4,patch,7,52.796,62.978,46.439,0.0,4.424
pos,patch_r04_c04,Patch R4 C4,patch,7,52.984,64.374,46.627,0.0,4.303
pos,patch_r04_c05,Patch R4 C5,patch,7,53.047,65.115,46.69,0.0,4.099
pos,patch_r04_c02,Patch R4 C2,patch,7,53.989,66.065,47.632,0.0,4.502
